M610,819,25,2406
B371,1083,901,8163
A530,1013,230,8552
X318,321,301,8684
Y469,707,1486,5137
L615,374,225,9353
D141,1368,1274,1586
C861,534,656,9767
E601,272,248,5372
C737,497,1380,6635
M982,398,1000,9779
Z316,1416,758,8243
Z908,720,503,731
J122,1344,623,8400
Z862,1252,113,9846
A723,761,458,3348
P220,1089,87,8580
Y828,213,785,1719
R337,57,1129,4535
C203,198,342,3617
P251,359,1409,8368
O179,268,639,2004
J848,115,1350,1981
P437,886,1105,7513
Q802,405,596,3067
Q633,371,86,5555
L237,56,440,9679
T762,85,1498,6284
R180,315,193,3487
Q252,1062,848,5340
R359,191,557,4349
O244,803,1397,9801
X195,429,459,9657
Q885,581,208,1863
Z221,1396,450,7761
Q225,654,1455,6424
K130,1024,784,9138
D127,1163,964,780
R753,426,571,6658
T322,888,1039,5755
L772,549,1030,87
W905,115,1375,4959
T757,913,969,1323
D857,825,1417,3611
B152,303,426,487
H931,777,578,2008
Y581,668,1326,1577
R493,110,186,7370
M638,442,192,3071
F811,1054,795,1110
